store_id,weekly_order_value,weekly_order_cbm,monday,monday_cbm,tuesday,tuesday_cbm,wednesday,wednesday_cbm,thursday,thursday_cbm,friday,friday_cbm,has_orders,weekly_verified
B001,48804.112537483335,26.523974205153987,0.0,0.0,17569.480513494003,9.548630713855436,3904.329002998667,2.121917936412319,11712.987008996002,6.365753809236958,5856.493504498001,3.182876904618479,True,False
B002,45142.76698092778,24.534112489634662,9028.553396185556,4.906822497926933,5417.132037711333,2.9440934987561596,12639.97475465978,6.869551497097706,0.0,0.0,9028.553396185556,4.906822497926933,True,False
B003,47127.47390057777,25.61275755466183,13195.692692161774,7.171572115305312,0.0,0.0,15080.791648184888,8.196082417491787,3770.197912046222,2.049020604372947,5655.296868069332,3.0735309065594194,True,False
B005,17371.31629263333,9.440932767735505,0.0,0.0,6253.673865348,3.3987357963847824,1389.7053034106666,0.7552746214188405,4169.115910232,2.2658238642565216,2084.557955116,1.1329119321282608,True,False
B006,42705.75785031111,23.209651005603863,0.0,0.0,15374.072826111998,8.355474362017391,3416.460628024889,1.8567720804483092,10249.381884074666,5.570316241344927,5124.690942037333,2.7851581206724636,True,False
B007,43627.43456586665,23.710562264057963,12215.681678442663,6.63895743393623,0.0,0.0,13960.77906107733,7.587379924498549,3490.1947652693325,1.8968449811246373,5235.292147903998,2.8452674716869555,True,False
B009,38254.093305205555,20.790268100655194,10711.146125457555,5.8212750681834535,0.0,0.0,12241.30985766578,6.652885792209663,3060.327464416445,1.6632214480524157,4590.491196624666,2.494832172078623,True,False
B010,57748.942673138874,31.385294931053735,11549.788534627776,6.277058986210748,6929.873120776665,3.766235391726448,16169.703948478884,8.787882580695046,0.0,0.0,11549.788534627776,6.277058986210748,True,False
B012,51656.78395048888,28.07433910352657,0.0,0.0,18596.442222176,10.106762077269565,4132.542716039111,2.2459471282821255,12397.628148117332,6.737841384846376,6198.814074058666,3.368920692423188,True,False
B013,41052.21951588332,22.310988867327893,11494.62146444733,6.247076882851809,0.0,0.0,13136.710245082664,7.139516437544926,3284.177561270666,1.7848791093862315,4926.266341905998,2.6773186640793467,True,False
B014,55811.69522615555,30.332443057693233,15627.274663323555,8.493084056154105,0.0,0.0,17859.742472369777,9.706381778461836,4464.935618092444,2.426595444615459,6697.403427138666,3.6398931669231884,True,False
