store_id,day_of_week,allowed_start_time,allowed_end_time,forbidden_intervals,has_time_constraint
B001,Monday,05:00,22:00,,False
B001,Tuesday,05:00,22:00,,False
B001,Wednesday,05:00,22:00,,False
B001,Thursday,05:00,22:00,,False
B001,Friday,05:00,22:00,,False
B001,Saturday,05:00,22:00,,False
B001,Sunday,05:00,22:00,,False
B002,Monday,05:00,22:00,,False
B002,Tuesday,05:00,22:00,,False
B002,Wednesday,05:00,22:00,,False
B002,Thursday,05:00,22:00,,False
B002,Friday,05:00,22:00,,False
B002,Saturday,05:00,22:00,,False
B002,Sunday,05:00,22:00,,False
B003,Monday,05:00,22:00,,False
B003,Tuesday,05:00,22:00,,False
B003,Wednesday,05:00,22:00,,False
B003,Thursday,05:00,22:00,,False
B003,Friday,05:00,22:00,,False
B003,Saturday,05:00,22:00,,False
B003,Sunday,05:00,22:00,,False
B005,Monday,05:00,22:00,,False
B005,Tuesday,05:00,22:00,,False
B005,Wednesday,05:00,22:00,,False
B005,Thursday,05:00,22:00,,False
B005,Friday,05:00,22:00,,False
B005,Saturday,05:00,22:00,,False
B005,Sunday,05:00,22:00,,False
B006,Monday,05:00,22:00,,False
B006,Tuesday,05:00,22:00,,False
B006,Wednesday,05:00,22:00,,False
B006,Thursday,05:00,22:00,,False
B006,Friday,05:00,22:00,,False
B006,Saturday,05:00,22:00,,False
B006,Sunday,05:00,22:00,,False
B007,Monday,05:00,22:00,,False
B007,Tuesday,05:00,22:00,,False
B007,Wednesday,05:00,22:00,,False
B007,Thursday,05:00,22:00,,False
B007,Friday,05:00,22:00,,False
B007,Saturday,05:00,22:00,,False
B007,Sunday,05:00,22:00,,False
B009,Monday,05:00,22:00,,False
B009,Tuesday,05:00,22:00,,False
B009,Wednesday,05:00,22:00,,False
B009,Thursday,05:00,22:00,,False
B009,Friday,05:00,22:00,,False
B009,Saturday,05:00,22:00,,False
B009,Sunday,05:00,22:00,,False
B010,Monday,05:00,22:00,,False
B010,Tuesday,05:00,22:00,,False
B010,Wednesday,05:00,22:00,,False
B010,Thursday,05:00,22:00,,False
B010,Friday,05:00,22:00,,False
B010,Saturday,05:00,22:00,,False
B010,Sunday,05:00,22:00,,False
B012,Monday,05:00,10:30,,True
B012,Tuesday,05:00,10:30,,True
B012,Wednesday,05:00,10:30,,True
B012,Thursday,05:00,10:30,,True
B012,Friday,05:00,10:30,,True
B012,Saturday,05:00,10:30,,True
B012,Sunday,05:00,10:30,,True
B013,Monday,05:00,22:00,,False
B013,Tuesday,05:00,22:00,,False
B013,Wednesday,05:00,22:00,,False
B013,Thursday,05:00,22:00,,False
B013,Friday,05:00,22:00,,False
B013,Saturday,05:00,22:00,,False
B013,Sunday,05:00,22:00,,False
B014,Monday,05:00,22:00,,False
B014,Tuesday,05:00,22:00,,False
B014,Wednesday,05:00,22:00,,False
B014,Thursday,05:00,22:00,,False
B014,Friday,05:00,22:00,,False
B014,Saturday,05:00,22:00,,False
B014,Sunday,05:00,22:00,,False
B015,Monday,05:00,22:00,,False
B015,Tuesday,05:00,22:00,,False
B015,Wednesday,05:00,22:00,,False
B015,Thursday,05:00,22:00,,False
B015,Friday,05:00,22:00,,False
B015,Saturday,05:00,22:00,,False
B015,Sunday,05:00,22:00,,False
B017,Monday,05:00,22:00,,False
B017,Tuesday,05:00,22:00,,False
B017,Wednesday,05:00,22:00,,False
B017,Thursday,05:00,22:00,,False
B017,Friday,05:00,22:00,,False
B017,Saturday,05:00,22:00,,False
B017,Sunday,05:00,22:00,,False
B018,Monday,05:00,22:00,,False
B018,Tuesday,05:00,22:00,,False
B018,Wednesday,05:00,22:00,,False
B018,Thursday,05:00,22:00,,False
B018,Friday,05:00,22:00,,False
B018,Saturday,05:00,22:00,,False
B018,Sunday,05:00,22:00,,False
B019,Monday,05:00,22:00,,False
B019,Tuesday,05:00,22:00,,False
B019,Wednesday,05:00,22:00,,False
B019,Thursday,05:00,22:00,,False
B019,Friday,05:00,22:00,,False
B019,Saturday,05:00,22:00,,False
B019,Sunday,05:00,22:00,,False
B020,Monday,05:00,22:00,,False
B020,Tuesday,05:00,22:00,,False
B020,Wednesday,05:00,22:00,,False
B020,Thursday,05:00,22:00,,False
B020,Friday,05:00,22:00,,False
B020,Saturday,05:00,22:00,,False
B020,Sunday,05:00,22:00,,False
B021,Monday,05:00,22:00,,False
B021,Tuesday,05:00,22:00,,False
B021,Wednesday,05:00,22:00,,False
B021,Thursday,05:00,22:00,,False
B021,Friday,05:00,22:00,,False
B021,Saturday,05:00,22:00,,False
B021,Sunday,05:00,22:00,,False
B022,Monday,05:00,22:00,,False
B022,Tuesday,05:00,22:00,,False
B022,Wednesday,05:00,22:00,,False
B022,Thursday,05:00,22:00,,False
B022,Friday,05:00,22:00,,False
B022,Saturday,05:00,22:00,,False
B022,Sunday,05:00,22:00,,False
B023,Monday,05:00,22:00,,False
B023,Tuesday,05:00,22:00,,False
B023,Wednesday,05:00,22:00,,False
B023,Thursday,05:00,22:00,,False
B023,Friday,05:00,22:00,,False
B023,Saturday,05:00,22:00,,False
B023,Sunday,05:00,22:00,,False
B024,Monday,05:00,22:00,,False
B024,Tuesday,05:00,22:00,,False
B024,Wednesday,05:00,22:00,,False
B024,Thursday,05:00,22:00,,False
B024,Friday,05:00,22:00,,False
B024,Saturday,05:00,22:00,,False
B024,Sunday,05:00,22:00,,False
B025,Monday,05:00,22:00,,False
B025,Tuesday,05:00,22:00,,False
B025,Wednesday,05:00,22:00,,False
B025,Thursday,05:00,22:00,,False
B025,Friday,05:00,22:00,,False
B025,Saturday,05:00,22:00,,False
B025,Sunday,05:00,22:00,,False
B026,Monday,05:00,22:00,,False
B026,Tuesday,05:00,22:00,,False
B026,Wednesday,05:00,22:00,,False
B026,Thursday,05:00,22:00,,False
B026,Friday,05:00,22:00,,False
B026,Saturday,05:00,22:00,,False
B026,Sunday,05:00,22:00,,False
B027,Monday,05:00,22:00,,False
B027,Tuesday,05:00,22:00,,False
B027,Wednesday,05:00,22:00,,False
B027,Thursday,05:00,22:00,,False
B027,Friday,05:00,22:00,,False
B027,Saturday,05:00,22:00,,False
B027,Sunday,05:00,22:00,,False
B028,Monday,05:00,22:00,,False
B028,Tuesday,05:00,22:00,,False
B028,Wednesday,05:00,22:00,,False
B028,Thursday,05:00,22:00,,False
B028,Friday,05:00,22:00,,False
B028,Saturday,05:00,22:00,,False
B028,Sunday,05:00,22:00,,False
B029,Monday,05:00,22:00,,False
B029,Tuesday,05:00,22:00,,False
B029,Wednesday,05:00,22:00,,False
B029,Thursday,05:00,22:00,,False
B029,Friday,05:00,22:00,,False
B029,Saturday,05:00,22:00,,False
B029,Sunday,05:00,22:00,,False
B030,Monday,05:00,22:00,,False
B030,Tuesday,05:00,22:00,,False
B030,Wednesday,05:00,22:00,,False
B030,Thursday,05:00,22:00,,False
B030,Friday,05:00,22:00,,False
B030,Saturday,05:00,22:00,,False
B030,Sunday,05:00,22:00,,False
B031,Monday,05:00,22:00,,False
B031,Tuesday,05:00,22:00,,False
B031,Wednesday,05:00,22:00,,False
B031,Thursday,05:00,22:00,,False
B031,Friday,05:00,22:00,,False
B031,Saturday,05:00,22:00,,False
B031,Sunday,05:00,22:00,,False
B032,Monday,05:00,22:00,,False
B032,Tuesday,05:00,22:00,,False
B032,Wednesday,05:00,22:00,,False
B032,Thursday,05:00,22:00,,False
B032,Friday,05:00,22:00,,False
B032,Saturday,05:00,22:00,,False
B032,Sunday,05:00,22:00,,False
B033,Monday,05:00,22:00,,False
B033,Tuesday,05:00,22:00,,False
B033,Wednesday,05:00,22:00,,False
B033,Thursday,05:00,22:00,,False
B033,Friday,05:00,22:00,,False
B033,Saturday,05:00,22:00,,False
B033,Sunday,05:00,22:00,,False
B034,Monday,05:00,22:00,,False
B034,Tuesday,05:00,22:00,,False
B034,Wednesday,05:00,22:00,,False
B034,Thursday,05:00,22:00,,False
B034,Friday,05:00,22:00,,False
B034,Saturday,05:00,22:00,,False
B034,Sunday,05:00,22:00,,False
B035,Monday,05:00,22:00,,False
B035,Tuesday,05:00,22:00,,False
B035,Wednesday,05:00,22:00,,False
B035,Thursday,05:00,22:00,,False
B035,Friday,05:00,22:00,,False
B035,Saturday,05:00,22:00,,False
B035,Sunday,05:00,22:00,,False
B037,Monday,05:00,22:00,,False
B037,Tuesday,05:00,22:00,,False
B037,Wednesday,05:00,22:00,,False
B037,Thursday,05:00,22:00,,False
B037,Friday,05:00,22:00,,False
B037,Saturday,05:00,22:00,,False
B037,Sunday,05:00,22:00,,False
B038,Monday,05:00,22:00,,False
B038,Tuesday,05:00,22:00,,False
B038,Wednesday,05:00,22:00,,False
B038,Thursday,05:00,22:00,,False
B038,Friday,05:00,22:00,,False
B038,Saturday,05:00,22:00,,False
B038,Sunday,05:00,22:00,,False
B039,Monday,05:00,22:00,,False
B039,Tuesday,05:00,22:00,,False
B039,Wednesday,05:00,22:00,,False
B039,Thursday,05:00,22:00,,False
B039,Friday,05:00,22:00,,False
B039,Saturday,05:00,22:00,,False
B039,Sunday,05:00,22:00,,False
B041,Monday,05:00,22:00,,False
B041,Tuesday,05:00,22:00,,False
B041,Wednesday,05:00,22:00,,False
B041,Thursday,05:00,22:00,,False
B041,Friday,05:00,22:00,,False
B041,Saturday,05:00,22:00,,False
B041,Sunday,05:00,22:00,,False
B042,Monday,05:00,22:00,,False
B042,Tuesday,05:00,22:00,,False
B042,Wednesday,05:00,22:00,,False
B042,Thursday,05:00,22:00,,False
B042,Friday,05:00,22:00,,False
B042,Saturday,05:00,22:00,,False
B042,Sunday,05:00,22:00,,False
B043,Monday,05:00,22:00,,False
B043,Tuesday,05:00,22:00,,False
B043,Wednesday,05:00,22:00,,False
B043,Thursday,05:00,22:00,,False
B043,Friday,05:00,22:00,,False
B043,Saturday,05:00,22:00,,False
B043,Sunday,05:00,22:00,,False
B044,Monday,05:00,22:00,,False
B044,Tuesday,05:00,22:00,,False
B044,Wednesday,05:00,22:00,,False
B044,Thursday,05:00,22:00,,False
B044,Friday,05:00,22:00,,False
B044,Saturday,05:00,22:00,,False
B044,Sunday,05:00,22:00,,False
B045,Monday,05:00,22:00,,False
B045,Tuesday,05:00,22:00,,False
B045,Wednesday,05:00,22:00,,False
B045,Thursday,05:00,22:00,,False
B045,Friday,05:00,22:00,,False
B045,Saturday,05:00,22:00,,False
B045,Sunday,05:00,22:00,,False
B046,Monday,05:00,22:00,,False
B046,Tuesday,05:00,22:00,,False
B046,Wednesday,05:00,22:00,,False
B046,Thursday,05:00,22:00,,False
B046,Friday,05:00,22:00,,False
B046,Saturday,05:00,22:00,,False
B046,Sunday,05:00,22:00,,False
B047,Monday,05:00,22:00,,False
B047,Tuesday,05:00,22:00,,False
